cliente_id,nombre_completo,email,latitud,longitud
50,Dorotea del Pedro,eugenia26@example.org,71.773641,-24.667752
51,Estefanía Acero Ordóñez,mariscalcebrian@example.com,-40.6982895,147.496326
52,Isidora Calvo Fiol,mbejarano@example.org,6.171611,49.443224
53,Elodia Cárdenas Ponce,julialuisina@example.org,77.8745655,-93.372923
54,Gervasio Espejo,cerezolidia@example.net,-62.782033,-34.803080
55,Victoriano Beltrán Paniagua,iniguezponcio@example.org,-22.3349945,40.518482
56,Martín Juan Vives,carrilloyesica@example.com,-12.9862085,162.516122
57,Isidro Desiderio Adadia Bueno,cabreromaria-fernanda@example.com,14.222046,12.612376
58,Sebastián Catalán Ponce,ribeshugo@example.org,-88.853007,43.986854
59,Samu Blanes Díaz,tadeo26@example.com,-72.5735645,-167.207780
60,Ruy Prada Larrea,fabrasara@example.com,-6.407586,140.751604
61,Rita del Alsina,mariolopez@example.org,24.615462,-66.200931
62,Amalia Rocamora Bastida,franciscoarevalo@example.net,-30.306224,-146.321565
63,Marina Falcó Pérez,epatino@example.org,-65.923795,55.857246
64,Juanito Merino Anguita,imeldaaranda@example.org,82.8251105,102.032302
65,Pepe Ayuso Requena,vplanas@example.net,-41.026527,165.166095
66,Inés Calleja Bonet,garzonevaristo@example.net,82.8633165,-107.018521
67,Encarna Patiño-Viana,slago@example.com,-40.6001965,106.426117
68,Sonia Bravo,coboaurora@example.net,88.203355,142.456352
69,Javi Hoz Tello,peralmanu@example.com,10.253848,167.833521
70,Sigfrido Julio César Nevado Fiol,anibalperera@example.org,67.2837485,-128.015428
71,Rosario Perales Robledo,veracalvo@example.net,75.9056215,-140.895726
72,Luciano del Cerdán,torrentsbegona@example.org,78.345578,101.973377
73,Eva María Miró Rico,nicolas72@example.org,-62.588946,-151.686795
74,Olivia Cobo,apolinar22@example.net,-45.1067055,34.432332
75,Rogelio Ibañez Verdugo,maria-pilartorre@example.net,89.4778435,-177.186277
76,Calixta Lloret Ordóñez,egomila@example.com,36.803871,32.766916
77,Amanda Román Rico,moranvicente@example.com,-86.1163255,-120.057132
78,Pepe Osorio Patiño,mayte38@example.net,60.882171,75.606768
79,Nélida Nogueira-Guillen,estebanedmundo@example.net,30.4698035,-71.373329
80,Inés Alcaraz Olivé,julio-cesarpalacios@example.net,-6.5808985,-141.617372
